date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close,weekly_max,monthly_max,annual_max,above_weekly_max,above_monthly_max,above_annual_max,weekly_min,monthly_min,annual_min,below_weekly_min,below_monthly_min,below_annual_min
2015-01-02,314.07901,315.838989,313.565002,315.032013,7860650.0,100.0,100.0,-66.66666666666667,-66.66666666666667,314.640503,314.6483332,314.640503,314.64441809999994,0.0175677564102443,314.640503,2.2739870000000337,4.193073153846171,4.275996629629647,281.082001,,,,0,0,0,,,,0,0,0
2015-01-03,314.846008,315.149994,281.082001,281.082001,33054400.0,1.938582552895724,2.096743839782277,-100.00000000000018,-100.00000000000018,303.4543356666666,303.0090810933209,303.4543356666666,303.2324579374354,-1.0304030320264133,303.4543356666666,34.067993,15.719617031496073,14.951008126142607,264.195007,,,,0,0,0,,,,0,0,0
2015-01-04,281.145996,287.230011,257.612,264.195007,55629100.0,1.2355063949826928,1.3754207781324652,-110.69389617273656,-110.69389617273656,293.6395035,292.71574694187524,293.6395035,293.1783821604405,-2.0914866148447686,293.6395035,29.618010999999967,20.033779141176467,19.034849413394216,274.473999,315.032013,,,0,0,0,264.195007,,,0,0,0
2015-01-05,265.084015,278.341003,265.084015,274.473999,43962800.0,21.462824998138476,19.523694967258635,-76.4873568779475,-76.4873568779475,289.8064026,288.76981289000673,289.8064026,289.2863893425219,-2.21500775657222,289.8064026,14.145996000000023,18.468441158454212,17.907070244777255,286.188995,315.032013,,,0,0,0,264.195007,,,0,0,0
2015-01-06,274.610992,287.553009,272.696014,286.188995,23245700.0,38.27235553915163,34.35078726787485,-37.07024356894217,-37.07024356894217,289.2035013333333,288.2955400814832,289.2035013333333,288.74400471230354,-1.746685843883597,289.2035013333333,14.856994999999984,17.613461433901932,17.3001263438775,294.337006,315.032013,,,0,0,0,264.195007,,,0,0,0
2015-01-07,286.076996,298.753998,283.07901,294.337006,24866800.0,47.4065135833862,42.31181253371828,2.945654641874905,2.945654641874905,289.93685914285714,289.26555271555696,289.93685914285714,289.591735617023,-1.0471417545344366,289.93685914285714,15.674988000000042,17.19393140388922,17.01332120163743,283.348999,315.032013,,,0,0,0,264.195007,,,0,0,0
2015-01-08,294.13501,294.13501,282.174988,283.348999,19982500.0,38.45400901309474,35.975974697085846,-3.927279191861052,-21.76372778113405,289.113376625,288.4183931543342,289.113376625,288.75568858084705,-1.0838268286957486,289.113376625,12.16201799999999,16.179534978665114,16.238551999683455,290.40799,315.032013,,,0,0,0,264.195007,,,0,0,0
2015-01-09,282.382996,291.114014,280.53299,290.40799,18718600.0,46.085087637881,41.9860917600161,37.63032147850655,-17.18202220833925,289.2572225555556,288.6764436110453,289.2572225555556,288.95430380898813,-0.742517426652114,289.2572225555556,10.581024000000014,15.113529014771258,15.408314984461532,274.79599,315.032013,,,0,0,0,264.195007,,,0,0,0
2015-01-10,287.303009,288.127014,273.966003,274.79599,15264300.0,34.91491563985926,34.31402726011552,-24.387206711384465,-58.93094448296495,287.8110993,287.0255319488012,287.8110993,287.4076862099798,-1.2937627875670614,287.8110993,16.441986999999983,15.354996945462236,15.549380289098323,265.660004,315.032013,,,0,0,0,264.195007,,,0,0,0
2015-01-11,274.608002,279.638,265.039001,265.660004,18200800.0,29.957565125194208,30.770594120005043,-117.08893931664964,-97.78048586188396,285.79736336363635,284.6719908927406,285.79736336363635,285.2270516281884,-2.1606823479224886,285.79736336363635,14.598998999999992,15.222728886468078,15.427602301011348,267.79599,294.337006,,,0,0,0,265.660004,,,0,0,0
