Fecha de publicación,Hora,Actual,Previsión,Anterior
24.08.2022,16:30,"-3,282M","-0,933M","-7,056M"
17.08.2022,16:30,"-7,056M","-0,275M","5,458M"
10.08.2022,16:30,"5,458M","0,073M","4,467M"
03.08.2022,16:30,"4,467M","-0,629M","-4,523M"
27.07.2022,16:30,"-4,523M","-1,037M","-0,446M"
20.07.2022,16:30,"-0,446M","1,357M","3,254M"
13.07.2022,16:30,"3,254M","-0,154M","8,235M"
07.07.2022,17:00,"8,235M","-1,043M","-2,762M"
29.06.2022,16:30,"-2,762M","-0,569M","-0,386M"
29.06.2022,16:25,"-0,386M",,"1,956M"
15.06.2022,16:30,"1,956M","-1,314M","2,025M"
08.06.2022,16:30,"2,025M","-1,917M","-5,068M"
02.06.2022,17:00,"-5,068M","-1,350M","-1,019M"
25.05.2022,16:30,"-1,019M","-0,737M","-3,394M"
18.05.2022,16:30,"-3,394M","1,383M","8,487M"
11.05.2022,16:30,"8,487M","-0,457M","1,302M"
04.05.2022,16:30,"1,302M","-0,829M","0,692M"
27.04.2022,16:30,"0,692M","2,000M","-8,020M"
20.04.2022,16:30,"-8,020M","2,471M","9,382M"
13.04.2022,16:30,"9,382M","0,863M","2,421M"
06.04.2022,16:30,"2,421M","-2,056M","-3,449M"
30.03.2022,16:30,"-3,449M","-1,022M","-2,508M"
23.03.2022,16:30,"-2,508M","0,114M","4,345M"
16.03.2022,16:30,"4,345M","-1,375M","-1,863M"
09.03.2022,17:30,"-1,863M","-0,657M","-2,597M"
02.03.2022,17:30,"-2,597M","2,748M","4,515M"
24.02.2022,18:00,"4,515M","0,442M","1,121M"
16.02.2022,17:30,"1,121M","-1,572M","-4,756M"
09.02.2022,17:30,"-4,756M","0,369M","-1,046M"
02.02.2022,17:30,"-1,046M","1,525M","2,377M"
26.01.2022,17:30,"2,377M","-0,728M","0,515M"
20.01.2022,18:00,"0,515M","-0,938M","-4,553M"
12.01.2022,17:30,"-4,553M","-1,904M","-2,144M"
05.01.2022,17:30,"-2,144M","-3,283M","-3,576M"
29.12.2021,17:30,"-3,576M","-3,233M","-4,715M"
22.12.2021,17:30,"-4,715M","-2,750M","-4,584M"
15.12.2021,17:30,"-4,584M","-2,082M","-0,240M"
08.12.2021,17:30,"-0,240M","-1,705M","-0,910M"
01.12.2021,17:30,"-0,910M","-1,237M","1,017M"
24.11.2021,17:30,"1,017M","-0,481M","-2,101M"
17.11.2021,17:30,"-2,101M","1,398M","1,001M"
10.11.2021,17:30,"1,001M","2,125M","3,291M"
03.11.2021,16:30,"3,291M","2,225M","4,267M"
27.10.2021,16:30,"4,267M","1,914M","-0,431M"
20.10.2021,16:30,"-0,431M","1,857M","6,088M"
14.10.2021,17:00,"6,088M","0,702M","2,346M"
06.10.2021,16:30,"2,346M","-0,418M","4,578M"
29.09.2021,16:30,"4,578M","-1,652M","-3,481M"
22.09.2021,16:30,"-3,481M","-2,440M","-6,422M"
15.09.2021,16:30,"-6,422M","-3,544M","-1,529M"
09.09.2021,17:00,"-1,529M","-4,612M","-7,169M"
01.09.2021,16:30,"-7,169M","-3,088M","-2,979M"
25.08.2021,16:30,"-2,979M","-2,683M","-3,234M"
18.08.2021,16:30,"-3,234M","-1,055M","-0,447M"
11.08.2021,16:30,"-0,447M","-1,271M","3,626M"
04.08.2021,16:30,"3,626M","-3,102M","-4,089M"
28.07.2021,16:30,"-4,089M","-2,928M","2,108M"
21.07.2021,16:30,"2,108M","-4,466M","-7,897M"
14.07.2021,16:30,"-7,897M","-4,359M","-6,866M"
08.07.2021,17:00,"-6,866M","-4,033M","-6,718M"
30.06.2021,16:30,"-6,718M","-4,686M","-7,614M"
23.06.2021,16:30,"-7,614M","-3,942M","-7,355M"
16.06.2021,16:30,"-7,355M","-3,290M","-5,241M"
09.06.2021,16:30,"-5,241M","-2,036M","-5,080M"
03.06.2021,17:00,"-5,080M","-2,443M","-1,662M"
26.05.2021,16:30,"-1,662M","-1,050M","-0,426M"
19.05.2021,16:30,"1,321M","1,623M","-0,427M"
12.05.2021,16:30,"-0,427M","-2,817M","-7,990M"
05.05.2021,16:30,"-7,990M","-2,346M","0,090M"
28.04.2021,16:30,"0,090M","0,659M","0,594M"
21.04.2021,16:30,"0,594M","-2,975M","-5,889M"
14.04.2021,16:30,"-5,889M","-2,889M","-3,522M"
07.04.2021,16:30,"-3,522M","-1,436M","-0,876M"
31.03.2021,16:30,"-0,876M","0,107M","1,912M"
24.03.2021,16:30,"1,912M","-0,272M","2,396M"
17.03.2021,16:30,"2,396M","2,964M","13,798M"
10.03.2021,17:30,"13,798M","0,816M","21,563M"
03.03.2021,17:30,"21,563M","-0,928M","1,285M"
24.02.2021,17:30,"1,285M","-5,190M","-7,258M"
18.02.2021,18:00,"-7,258M","-2,429M","-6,644M"
10.02.2021,17:30,"-6,644M","0,985M","-0,994M"
03.02.2021,17:30,"-0,994M","0,446M","-9,910M"
27.01.2021,17:30,"-9,910M","0,430M","4,351M"
22.01.2021,18:00,"4,351M","-1,167M","-3,247M"
13.01.2021,17:30,"-3,247M","-2,266M","-8,010M"
